yGraph
Time (Seconds),y_Estimate (Meters),y_Real (Meters),Data (Meters)
20.049999,-0.212035,-0.194771,-0.212035
20.099998,-0.194771,-0.175325,-0.194771
20.150000,-0.175325,-0.155176,-0.175325
20.199999,-0.155176,-0.133533,-0.155176
20.250000,-0.133533,-0.111381,-0.133533
20.299999,-0.111381,-0.088763,-0.111381
20.349998,-0.088764,-0.065602,-0.088764
20.400000,-0.065602,-0.041722,-0.065602
20.449999,-0.041722,-0.018374,-0.041722
20.500000,-0.018375,0.005621,-0.018375
20.549999,0.005621,0.029713,0.005621
20.599998,0.029713,0.052903,0.029713
20.650000,0.052903,0.075185,0.052903
20.699999,0.075185,0.096743,0.075185
20.750000,0.096743,0.117258,0.096743
20.799999,0.117258,0.136812,0.117258
20.849998,0.136812,0.154820,0.136813
20.900000,0.154819,0.171178,0.154819
20.949999,0.171178,0.186141,0.171178
21.000000,0.186141,0.199198,0.186140
21.049999,0.199198,0.210703,0.199198
21.099998,0.210703,0.221558,0.210703
21.150000,0.221558,0.229185,0.221558
21.199999,0.229185,0.233140,0.229185
21.250000,0.233141,0.236944,0.233141
21.299999,0.236944,0.238284,0.236944
21.349998,0.238284,0.237595,0.238284
21.400000,0.237595,0.234405,0.237595
21.449999,0.234406,0.230304,0.234406
21.500000,0.230304,0.224166,0.230304
21.549999,0.224166,0.216071,0.224166
21.599998,0.216071,0.204410,0.216071
21.650000,0.204410,0.191594,0.204410
21.699999,0.191594,0.179740,0.191594
21.750000,0.179740,0.166305,0.179740
21.799999,0.166304,0.151358,0.166304
21.849998,0.151358,0.134426,0.151358
21.900000,0.134426,0.116006,0.134426
21.949999,0.116006,0.096328,0.116006
22.000000,0.096328,0.076784,0.096328
22.049999,0.076784,0.056754,0.076784
22.099998,0.056754,0.036192,0.056754
22.150000,0.036193,0.015603,0.036192
22.199999,0.015603,-0.004738,0.015604
22.250000,-0.004738,-0.024755,-0.004738
22.299999,-0.024755,-0.044383,-0.024755
22.349998,-0.044383,-0.063294,-0.044383
22.400000,-0.063294,-0.080982,-0.063294
22.449999,-0.080982,-0.098591,-0.080982
22.500000,-0.098590,-0.115216,-0.098591
22.549999,-0.115216,-0.130788,-0.115216
22.599998,-0.130788,-0.144102,-0.130788
22.650000,-0.144102,-0.156795,-0.144102
22.699999,-0.156795,-0.166691,-0.156796
22.750000,-0.166691,-0.176416,-0.166691
22.799999,-0.176415,-0.185879,-0.176416
22.849998,-0.185879,-0.193082,-0.185879
22.900000,-0.193082,-0.196963,-0.193082
22.949999,-0.196963,-0.199644,-0.196963
23.000000,-0.199644,-0.200515,-0.199644
23.049999,-0.200515,-0.200524,-0.200515
23.099998,-0.200524,-0.197659,-0.200524
23.150000,-0.197659,-0.195069,-0.197660
23.199999,-0.195069,-0.188192,-0.195069
23.250000,-0.188192,-0.181879,-0.188192
23.299999,-0.181879,-0.173358,-0.181879
23.349998,-0.173358,-0.163057,-0.173358
23.400000,-0.163057,-0.151660,-0.163057
23.449999,-0.151660,-0.137826,-0.151660
23.500000,-0.137826,-0.124542,-0.137825
23.549999,-0.124542,-0.110807,-0.124542
23.599998,-0.110807,-0.096258,-0.110807
23.650000,-0.096258,-0.080828,-0.096258
23.699999,-0.080828,-0.065048,-0.080828
23.750000,-0.065048,-0.047857,-0.065048
23.799999,-0.047857,-0.030503,-0.047857
23.849998,-0.030503,-0.012557,-0.030503
23.900000,-0.012557,0.004980,-0.012557
23.949999,0.004980,0.021683,0.004980
24.000000,0.021683,0.037798,0.021683
24.049999,0.037799,0.053668,0.037799
24.099998,0.053668,0.069232,0.053668
24.150000,0.069232,0.083660,0.069232
24.199999,0.083660,0.096868,0.083660
24.250000,0.096869,0.110161,0.096869
24.299999,0.110161,0.122464,0.110161
24.349998,0.122464,0.132980,0.122464
24.400000,0.132980,0.142604,0.132980
24.449999,0.142604,0.150713,0.142604
24.500000,0.150713,0.158170,0.150713
24.549999,0.158170,0.163138,0.158170
24.599998,0.163139,0.166499,0.163139
24.650000,0.166499,0.169045,0.166500
24.699999,0.169045,0.171155,0.169045
24.750000,0.171155,0.170991,0.171155
24.799999,0.170991,0.169144,0.170991
24.849998,0.169143,0.165433,0.169144
24.900000,0.165433,0.159850,0.165433
24.949999,0.159850,0.153025,0.159850
25.000000,0.153025,0.146889,0.153025
25.049999,0.146890,0.138464,0.146890
25.099998,0.138464,0.130105,0.138464
25.150000,0.130105,0.119933,0.130105
25.199999,0.119933,0.107420,0.119933
25.250000,0.107420,0.094641,0.107420
25.299999,0.094640,0.082538,0.094640
25.349998,0.082538,0.070016,0.082538
25.400000,0.070016,0.054992,0.070016
25.449999,0.054992,0.040744,0.054992
25.500000,0.040744,0.026226,0.040745
25.549999,0.026226,0.011027,0.026226
25.599998,0.011027,-0.003170,0.011027
25.650000,-0.003170,-0.015897,-0.003170
25.699999,-0.015897,-0.030521,-0.015897
25.750000,-0.030521,-0.044539,-0.030521
25.799999,-0.044539,-0.057064,-0.044539
25.849998,-0.057064,-0.071178,-0.057064
25.900000,-0.071179,-0.083182,-0.071179
25.949999,-0.083182,-0.093989,-0.083182
26.000000,-0.093989,-0.103991,-0.093989
26.049999,-0.103991,-0.112310,-0.103991
26.099998,-0.112310,-0.119807,-0.112310
26.150000,-0.119807,-0.125498,-0.119807
26.199999,-0.125498,-0.132389,-0.125498
26.250000,-0.132388,-0.136307,-0.132389
26.299999,-0.136307,-0.139840,-0.136307
26.349998,-0.139840,-0.143772,-0.139840
26.400000,-0.143772,-0.143810,-0.143772
26.449999,-0.143810,-0.143358,-0.143810
26.500000,-0.143358,-0.141456,-0.143358
26.549999,-0.141456,-0.139881,-0.141456
26.599998,-0.139881,-0.135267,-0.139881
26.650000,-0.135268,-0.129226,-0.135268
26.699999,-0.129226,-0.123109,-0.129225
26.750000,-0.123109,-0.115449,-0.123109
26.799999,-0.115449,-0.107465,-0.115449
26.849998,-0.107465,-0.100388,-0.107465
26.900000,-0.100388,-0.090940,-0.100388
26.949999,-0.090939,-0.081023,-0.090939
27.000000,-0.081023,-0.068287,-0.081023
27.049999,-0.068287,-0.056255,-0.068287
27.099998,-0.056255,-0.045691,-0.056256
27.150000,-0.045691,-0.033898,-0.045691
27.199999,-0.033898,-0.021497,-0.033898
27.250000,-0.021497,-0.008666,-0.021497
27.299999,-0.008666,0.002385,-0.008666
27.349998,0.002385,0.014249,0.002385
27.400000,0.014249,0.025520,0.014248
27.449999,0.025520,0.037807,0.025520
27.500000,0.037807,0.048609,0.037807
27.549999,0.048609,0.059873,0.048609
27.599998,0.059873,0.069587,0.059873
27.650000,0.069587,0.078362,0.069587
27.699999,0.078362,0.087543,0.078362
27.750000,0.087544,0.095809,0.087544
27.799999,0.095809,0.102534,0.095809
27.849998,0.102534,0.106776,0.102534
27.900000,0.106776,0.112010,0.106776
27.949999,0.112010,0.115655,0.112010
28.000000,0.115655,0.118589,0.115655
28.049999,0.118588,0.120331,0.118588
28.099998,0.120331,0.121220,0.120331
28.150000,0.121220,0.120473,0.121220
28.199999,0.120473,0.119629,0.120474
28.250000,0.119629,0.117494,0.119629
28.299999,0.117494,0.114135,0.117494
28.349998,0.114134,0.109903,0.114134
28.400000,0.109903,0.105148,0.109903
28.449999,0.105148,0.099971,0.105148
28.500000,0.099971,0.093513,0.099971
28.549999,0.093513,0.084864,0.093513
28.599998,0.084864,0.077402,0.084864
28.650000,0.077402,0.067584,0.077402
28.699999,0.067584,0.059364,0.067584
28.750000,0.059364,0.049893,0.059364
28.799999,0.049893,0.040108,0.049893
28.849998,0.040108,0.029085,0.040108
28.900000,0.029085,0.019116,0.029085
28.949999,0.019116,0.008046,0.019116
29.000000,0.008046,-0.003076,0.008046
29.049999,-0.003076,-0.012875,-0.003076
29.099998,-0.012875,-0.021217,-0.012874
29.150000,-0.021217,-0.030887,-0.021217
29.199999,-0.030887,-0.040854,-0.030887
29.250000,-0.040854,-0.050311,-0.040854
29.299999,-0.050311,-0.059169,-0.050311
29.349998,-0.059169,-0.066241,-0.059169
29.400000,-0.066241,-0.073061,-0.066241
29.449999,-0.073061,-0.078948,-0.073061
29.500000,-0.078948,-0.085314,-0.078947
29.549999,-0.085314,-0.090729,-0.085314
29.599998,-0.090729,-0.094590,-0.090729
29.650000,-0.094590,-0.098044,-0.094590
29.699999,-0.098044,-0.100425,-0.098044
29.750000,-0.100425,-0.102050,-0.100425
29.799999,-0.102050,-0.102618,-0.102049
29.849998,-0.102618,-0.104653,-0.102618
29.900000,-0.104653,-0.101154,-0.104653
29.949999,-0.101154,-0.098701,-0.101154
30.000000,-0.098701,-0.094421,-0.098701
30.049999,-0.094421,-0.092922,-0.094421
30.099998,-0.092922,-0.086664,-0.092923
30.150000,-0.086664,-0.081493,-0.086664
30.199999,-0.081493,-0.077218,-0.081493
30.250000,-0.077218,-0.070281,-0.077218
30.299999,-0.070282,-0.063340,-0.070282
30.349998,-0.063340,-0.056940,-0.063340
30.400000,-0.056941,-0.049489,-0.056941
30.449999,-0.049489,-0.041048,-0.049489
30.500000,-0.041048,-0.032312,-0.041048
30.549999,-0.032312,-0.021892,-0.032312
30.599998,-0.021892,-0.013469,-0.021892
30.650000,-0.013469,-0.004353,-0.013469
30.699999,-0.004353,0.003702,-0.004353
30.750000,0.003702,0.012277,0.003702
30.799999,0.012276,0.021044,0.012276
30.849998,0.021044,0.028947,0.021044
30.900000,0.028947,0.035507,0.028947
30.949999,0.035507,0.043554,0.035507
31.000000,0.043554,0.050831,0.043554
31.049999,0.050831,0.056086,0.050831
31.099998,0.056086,0.062351,0.056086
31.150000,0.062351,0.069058,0.062351
31.199999,0.069059,0.073197,0.069059
31.250000,0.073197,0.077234,0.073197
31.299999,0.077234,0.081910,0.077235
31.349998,0.081910,0.084741,0.081910
31.400000,0.084741,0.085443,0.084741
31.449999,0.085443,0.086867,0.085443
31.500000,0.086867,0.087066,0.086867
31.549999,0.087065,0.086419,0.087065
31.599998,0.086419,0.085196,0.086419
31.650000,0.085196,0.083266,0.085196
